,Company,Ticker,IPO,First Value,Last Value,Last Date,How Much
42,ADTALEM GLOBAL EDUCATION,ATGE,1991-06-01 00:00:00-04:00,1.0376191933949788,42.5099983215332,2023-05-05 00:00:00-04:00,3996.878565097186
43,ADTHEORENT HOLDING COMPANY INC,ADTH,2021-04-01 00:00:00-04:00,9.699999809265137,1.659999966621399,2023-04-01 00:00:00-04:00,-82.88659794574616
44,ADTRAN INC,ADTN,1994-08-01 00:00:00-04:00,4.511307824147891,9.109999656677246,2023-05-01 00:00:00-04:00,101.93699946418464
45,ADVANCED ENERGY INDUSTRIES,AEIS,1995-11-01 00:00:00-05:00,10.396683883666991,86.55000305175781,2023-05-01 00:00:00-04:00,732.4770092098919
46,ADVANSIX,ASIX,2016-09-01 00:00:00-04:00,16.183774512233857,36.36000061035156,2023-05-05 00:00:00-04:00,124.66947115993132
47,ADVANTAGE SOLUTIONS INC (A),ADV,2020-01-01 00:00:00-05:00,10.800000190734863,1.5700000524520874,2023-04-01 00:00:00-04:00,-85.4629627340288
48,Company,Ticker,*******,*******,*******,*******,*******
49,AEMETIS,AMTX,2006-06-01 00:00:00-04:00,45.0,1.690000057220459,2023-05-05 00:00:00-04:00,-96.24444431728787
50,AERIE PHARMACEUTICALS INC,AERI,*******,*******,*******,*******,*******
51,AEROJET ROCKETDYNE HOLDINGS,AJRD,1984-11-01 00:00:00-05:00,2.946831262323247,56.25,2023-05-01 00:00:00-04:00,1808.830027670236
52,AEROVATE THERAPEUTICS,AVTE,2021-06-01 00:00:00-04:00,21.420000076293945,21.149999618530273,2023-05-05 00:00:00-04:00,-1.2605063342762926
53,AEROVIRONMENT,AVAV,2007-01-01 00:00:00-05:00,22.889999389648438,91.66999816894531,2023-04-01 00:00:00-04:00,300.48056187542454
54,AERSALE CORPORATION,ASLE,2019-02-01 00:00:00-05:00,9.760000228881836,16.18000030517578,2023-05-01 00:00:00-04:00,65.7786877637139
55,AEVA TECHNOLOGIES INC,AEVA,2020-02-01 00:00:00-05:00,9.859999656677246,1.0,2023-05-01 00:00:00-04:00,-89.85801181724389
56,AEYE INC,LIDR,2021-01-01 00:00:00-05:00,11.859999656677246,0.3050000071525574,2023-04-01 00:00:00-04:00,-97.42833038801278
57,AFC GAMMA,AFCG,2021-03-01 00:00:00-05:00,17.183862400558176,11.09000015258789,2023-05-05 00:00:00-04:00,-35.46270393652792
58,AFFIMED N.V.,AFMD,2014-09-01 00:00:00-04:00,6.289999961853027,0.8747000098228455,2023-05-05 00:00:00-04:00,-86.09379944153196
59,AGENUS,AGEN,2000-02-01 00:00:00-05:00,303.9744873046875,1.5099999904632568,2023-05-01 00:00:00-04:00,-99.50324778771656
60,AGILITI,AGTI,2021-04-01 00:00:00-04:00,15.479999542236328,16.059999465942383,2023-04-01 00:00:00-04:00,3.746769643781686
61,AGILYSYS,AGYS,1984-12-01 00:00:00-05:00,0.0,77.75,2023-05-05 00:00:00-04:00,inf
62,AGIOS PHARMACEUTICALS,AGIO,2013-07-01 00:00:00-04:00,29.989999771118164,22.860000610351562,2023-04-01 00:00:00-04:00,-23.774588913578917
63,AGREE REALTY,ADC,1994-04-01 00:00:00-05:00,2.313326117110579,68.58000183105469,2023-04-01 00:00:00-04:00,2864.5626409437414
64,AIR TRANSPORT SERVICES GROUP,ATSG,2003-07-01 00:00:00-04:00,1.7799999713897705,20.93000030517578,2023-04-01 00:00:00-04:00,1075.8427326734318
65,AIRSCULPT TECHNOLOGIES,AIRS,2021-10-01 00:00:00-04:00,14.435672467420197,5.070000171661377,2023-04-01 00:00:00-04:00,-64.87866995386715
66,AKERO THERAPEUTICS,AKRO,2019-06-01 00:00:00-04:00,19.360000610351562,45.0,2023-05-05 00:00:00-04:00,132.43800920098644
